id;poem_author;post_author;date_posted;language;in_translation;poem_full_text;number_of_likes;number_of_comments;number_of_shares;
687;Oles Ilchenko;Oles Ilchenko;2/8/2022;Ukrainian;No;"***
сім бузкових пагорбів
утримують тишу
зимна весна незворушна
з-під землі лине 
невимовна мова
верби сумують
тополі ростуть
трави коріняться
плетиво горішнє затуляє 
виходи підземні
чи надовго
набряклі у ґрунтових водах
годинники нагадують про
не цей змарнований час";43;1;;
688;Anna Gruver;Anna Gruver;2/9/2022;Ukrainian;Yes;"я можу за себе постояти з крихітною кулею в грудях вся моя кров наче блискавка
б’є в дерево
під яким я ховалася від грози я можу за себе постояти між повторами
що піднімаються по вертикалі до розрядів займенників моє життя сліпуче
як відплата схематичне як заземлення на тому місці де я за себе стою я витоптала яму глибиною у власний зріст і танцюю переможний танець його не видно";54;0;2;
689;Oleh Kotsarev;Oleh Kotsarev;2/9/2022;Ukrainian;No;"ТИ ТИМ

чи насолоджений
ти тим
як кіт вдивляється на тебе в дзеркало?
ти тим
як собака вимахує місяцем зло?
чи відчиниш штору нічну
ти тим
хто прийшли —
опудалу звуку кігтів і зайчику сонячному
що збунтувавсь і не схотів засинати за сонцем?

хто прийшли й стоять перед вікном
на твоїй чудовій затишній безлюдній
вулиці волосся";55;3;;
690;Stanislav Chernilevskyi;Stanislav Chernilevskyi;2/9/2022;Ukrainian;No;"Нічні співбесіди
                                                   \цикл\
                                                        І
                                              Диптих щему
                                                        1
                              На що   насправді
                                        ми в цім прИсуді
                                    спроможні,
                                де заклинання
                                    на заклИнювання 
                                        множні?
                              На те, що ми собі
                                     хоч десь,
                                     але тотожні.
                                       Кожні.
                                                             20.01.2022. м. Київ
                                                2
Щось ухоплюєш туском
                                       в тривалості злючій,
наче ґнотиком іскру
                                  свіча великОдня.
Одружитися мав я 
                                на вишні квітучій
      чи на ниві лаванди,
                                       де синь- як безодня.
Та короткі цвітіння,
                                а зміни неспинні-
і печаль, як прощання,
                               все щастя стинає
і настоює терпкістю
                               спомини винні
стиском щему,
                         що в здовжену мить
                     запірнає.
І коли захмеліє від щему душа,
             гостре лезо сльози
               цвіт як скрик
                      воскреша.
                                                08.02.2022 м. Київ
                                                     ІІ
                                           Двовірш ріки
                                                     1
Як припадає
                      берег спраглозелий
до вільг підземних
                               ниттям плетункА!..
Моя природа-
                         річки біг веселий,
глибин її
                задумливість плинка.
Чи тихим каміцевим перегребом,
чи виром паводкОвої стругИ
ріка говорить з далиною й небом-
і стуженістю жалить береги.
А в ніч німу,
                    коли в зомлі кринИці,
ти журкіт ловиш
                            як свою жаду
в печальній і манливій таємниці
     прогулянок в зорЕшливім саду,
коли рясної яскротИ яса
  впритул тобі до спраги нависа.
                                                           2
Я найбільше себе відчуваю рікою,
невеликою, витою, в спадах і бродах,
між лугами та кручами, в плинах спокОю,
в бурушах між креміння і в перегородах.
В пригортаннях до сходжень доріг при мілинах,
і в безхвильній задумі по глибоководях,
і в ряхкім припаданні підлетів бджолиних,
і в колесах млинів, наче в кінських поводдях.
В тисячАх віддзеркалень вербових,
                                                         що скруху
в шелесткім нависанні ховають від світу,
і в суцільному струмі єдиного руху
від джерельця до безміру як заповіту.
Бо коли поглина мене більша вода,
            мою пам'ять про шлях 
            в ній Творець прогляда.
                                                                16.01.2022 м. Київ
                                                      ІІІ
                                        Триптих прИтемку
                                                       1
                                       Що воно лине 
                                                 в глибнім узвишші
                                                  манкОм здаленіч-
                                          в річ, що рокОвана?
                                          Яблука повні
                                                   м'якоттю тиші,
                                                   хрумкої, як ніч,
                                              в день запакована.
                                                                               04.02.2022 м. Київ
                                                        2
Слава Богу,
                    деревам не йдуть електронні листи.
Слава Богу, трава
                             ще не шлюбна з піском неродимим.
Вікна - навстіж!
                          в повітря!
                                      у свіжість його чистоти!
      ...  а воно напливає
           з густої застиглости
                   димом.
                                                      3
Не зором, а луском
                                 пронизують млу кажани,
як брязкотом танки
                                 в навальній загрозі недобрій.
Всі карлики прагнуть собі допрягти довжини
колонами в небо
                              і довгозагонами - в обрій.
Така невитравна з віків
                                        давньоримська мана',
що осіменилась поклонами ветхим харизмам:
по мапах пригарбань
                                    вписати свої імена,
щоб потім ще довго
                               смерділо від них 
                      цезаризмом.
Щоб потім ще довго,
                                   в печерний вчепившись карниз,
     над гОрами смороду
                                           вИсіти карками вниз.
                                                                            04.02.2022. м. Київ.
                                                     IV
                                        Тривірш безсоння
                                                       1
Нічної тиші
                   запитальність довга,
терпка, немов настояне вино.
Годинник шарпно
                               срілки свої совга,
намотуючи трИву волокно.
Нічні мої співбесіди з собою,
    селом, дитинством, книгами
                                                    і з тим
тремтінням золотого звіробою
в устах коханих
                          з поглядом святим.
Вино їх знає:
                       їм немає дна.
Бо всі, кого любив я,
                                   то одна-
далека, недосяжна ,золота,
як зорями прострелені літа.
            Годинник.
            Знак питання.
            Чорнота.
                                                         11.09.221р. м. Київ
                                                          2
Не засну.
                Мов отару зірок стережу.
І куди мені дітись,
                              бо хочу-не хочу,
а тебе- не чужу,
                           та нещадно чужу,
все вплітаю в свою тускоту одиночу.
День махнув лебедино
                                     за пругом давно.
ПереблИснуло марево плеса Дніпрове.
В забутті, як погано- нездарне кіно,-
тараториво раю, таке нездорове.
Що той рабський едем?-
                                       Сплеск руки над чолом,
відкидання з-під вій 
                                 золотого волосся,-
і така жалинА
                        всім неявленим тлом,
всім пустизним терлом
                                       правди несуголосся...
Вже остання зоря
                              вицвіта за Дніпром.
Тускота осипає свою осоругу.
Білий лебідь потерся простертим пером
об краєчок серпастого чорного пругу,
                     де ховаю тебе.
                       Мов ту саму.
                               Та другу.
                                                                    31.01.2022.р. м. Київ
                                                       3
Палац дукачА чи злидарський віґвам-
           скрізь серце життю іменнЕ.
І я був несудженим судженим вам,
   жінки, що кохали мене.
І як осягнути, від чого пісні
    співали не нам солов'ї?
Так само чомусь не судились мені
       жадані кохані мої.
Між бути й не бути
                                я чим переймусь
востаннє на суднім кону?
Чому на хресті між ""комусь"" і ""чомусь""
     розіп'ято долю земну?
Однак перед дзеркалом чорної мли
    всім стиском
                         осердя збагне:
я вижив тому, що на світі були
    жінки, що кохали мене.
Тому лиш!
Як чудно буває в житті:
кому не судились ми-
           ті золоті.
                                                   04.02.2022р. м. Київ
                                                      V
                                Диптих Леонідові Грабовському
                                                       1
Любий брате дальній Леоніде -
ближній, коли серце гомонить!
Через пів земної кулі, звіде,
напинаєш співрозмовну нить.
Хай хоч як мене розгуба струже,
та уявно чую: в тім краю-
попри все!-
                     над нотним станом, друже,
        ти схиляєш голову свою.
Що тобі сурмОю, що струною,
що в удар латунь виповіща?
Котиться поміж тобою й мною
   місяцеве мідне коліща.
І мене відкочує від шкоди,
щоб зігнув хоч Якось я в дугу
сей психоз: вичитувати коди
там, де сам Вершитель ні гу-гу.
Щось недобре коїться зі мною,
мов нема спочину й уві сні.
Ніби сила пішить стороною,
щоб не придаватися мені.
Вже набридла ся зима похмура,
фокуси ковідні, кривизна.
Я перед твоїм талантом- джура.
От би знову Київська весна!
Бджоли в солодАх акацій п'яних
і такий простий блаженний дар-
побродити  в пагорбах незнаних,
де водив нас Громов-поводар.
Падати в каштанове зомліття
з прикрістю терпкою вперепліть:
Київ знати більше пів століття-
і не знати вблизь тисячоліть...
Жити усамітнено не просто.
Як ти витяг все в самотині?
Вже тобі апчхи!- і дев'яносто:
       мимовільна заповідь мені
       виростити  спружену принуку
        вищому довіритись щаблю.
Я людина світла, а не звуку,-
    через те я Музику люблю!
І палаю вдячністю дотла,
    що вона в безодні 
        нас звела .
                                                              2
Минає ніч.
                  Не сіє пахмур соду.
Перевертає туск на вертлюгу.
І хатній пес, голодний на свободу,
гасає по скрижілому снігу-
і мимовільно тУгу рве тугУ.
Стоїть Софія тисячеволітня - 
і з прИтемку на гроно хресних бань,
на золото опук зоря досвітня
кладе провісний знак заповідань.
        І в змерзлі дзвони 
                 скреси
             цідить рань.  
                                                       07.02.222р. м. Київ
";66;9;3;
691;Andrij Bondar;Andrij Bondar;2/10/2022;Russian;No;"Стоят титушки, стоят сиротки,
Рубасы в руках теребят,
Потому что на сижки и водку
Не хватает у этих ребят.";126;20;1;
692;Stanislav Chernilevsky;Stanislav Chernilevskyi;2/10/2022;Ukrainian;No;"Катуєшся, що все не до пуття
вузлується твій триб.
                               Та опріч болю
гадаєш: випадковості життя 
прядуть тобі невипадкову долю.
Чи, може, це призначення пряде,
збираючи трапунки, наче ниті,
строкаті і всебарвні,-
                                     і веде
подробиці уже як імениті,
як миті візерунку, що один,
єдиноцільний аж до некролога-
і крізь долеглість днів, років, годин
і випадків звістує задум Бога
чи запит Бога,
               влучний, мов ланцет
доцільности, як станеш тет-а-тет.
                                                          10.02.2022р.м. Київ";66;5;5;
693;Stanislav Chernilevsky;Stanislav Chernilevskyi;2/10/2022;Ukrainian;No;"Прорис на камені
                                               1
РозпорошИлося життя,
вже, може, в зАчинку щербите.
Ні забуття, ні вороття,
аби хоч щось переробити.
Така розкрита марнота
розкинулася за плечима,
що обрис дальнього хреста
сльозами бачиш- не очима.
І в них не ремство і не жаль,
лиш непрочитана скрижаль.
                                                          2
Білі розчерки шиї -
                                 письмо дугове,
мінерального пензля солімка:
на камінчику сірому гуска пливе
чи лебідка під цифрою ""сімка"".
Так прошкрябалось, може, чи склалось тоді,
коли магма стискалася в камінь.
І пливе тепер птаха по сірій воді-
слід прачасу, що грію руками.
Так первІсне- либонь, землетворне тепло
від моєї долоні взворот потекло,
щоб вогні з'ясували, як свідки,
дальньоз'яву мене і лебідки
й цифри сімки- мов знаків з казок,
між якими затерся зв'язок.
                                                             09.02.2022р.м. Київ";65;0;8;
694;Maria Galina;Maria Galina;2/11/2022;Russian;No;"Из окна верхнего этажа бывшего горсовета
Ровно в семнадцать тридцать можно увидеть
Самолеты, идущие на посадку,
landing фонари, чистейшее их сияние
(расположены в районе трети размаха крыльевых консолей. Мощность и дальность освещения аналогичны дальнему свету автомобиля.  Направленные в одну точку фары белого цвета)
всякие вспомогательные строения,
конструкции непонятного назначения
и собственно здание аэропорта, гордость нашего региона.
Мы собираемся у окна примерно в семнадцать двадцать.
Молчим, курим, тут теперь можно никто не гоняет.
Ждем, когда загорятся огни в зале прилетов.
Иногда приводим с собой детей и женщин, но редко –
Женщины плачут, дети просто не понимают
Что это там такое ревет и мерцает в небе
Заходит на круг и куда потом исчезает.
Пара минут ведь – и все. И опять пустота и ветер
Не уловленный сачками для ловли ветра
Гонит по развалинам пыль и мусор.
Странное, конечно, явленье, но забирает.
Вот, каждый вечер, в семнадцать тридцать стоим и смотрим.
Полагаю, это что-то связанное с памятью атмосферы
Может же быть у нее какая-то память, у атмосферы…";167;8;2;
695;Nathalie Beltchenko;Nathalie Beltchenko;2/11/2022;Ukrainian;Yes;"MATKA NIE ODCHODZI 
Kto jak kto
ale matka cię nie opuści
jak ty w niej kiedyś
będzie mieszkać w tobie 
do końca
twojego końca
a może wieki dłużej
kto wie
nawet potem
choćbyś był żukiem gnojarzem
rzeką metanu na Tytanie
niebieskim obłokiem kwazaru
ziemski smutek odnajdzie twoją mleczną drogę
abyś czuł
choćby czułkami
rzecznym kamieniem łożyska
swoim oddalającym się błyskiem
że masz klucz tej a niej innej
macierzy
i nie masz dokąd odejść
ona też nie. 
---------------------------------------------------------------
Кристина Ленковська, переклад українською Наталії Бельченко
Мати не відходить
Хто-хто
але мати тебе не залишить
як ти в ній колись
вона буде мешкати в тобі
до кінця
до твого кінця
а може набагато довше
хто знає
навіть якщо
ти станеш жуком-гнойовиком
річкою метану на Титані
блакитною хмарою квазарів
земний смуток знайде твій чумацький шлях
аби відчував
хоча б вусиками
річковим камінням річища-плаценти
своїм даленіючим спалахом
що в тебе ключ від цієї а не іншої
домівки
і тобі немає куди піти
їй теж.";67;5;4;
696;Dmitry Strotsev;Dmitry Strotsev;2/12/2022;Russian;No;"* 
говорит Христос
русскому богу
говорит Христос
выйди дракон
из людей
выйди дракон
Тело Мое разломи
приими
Крови Моей причастись
упразднись
26.06.2014";248;3;8;
697;Julia Musakovska;Julia Musakovska;2/12/2022;Ukrainian;No;"Викопаємо землянку, заведемо козу,
буде нам клапоть двору, мовби віденський парк.
В ночі у роті виблискує місяця зуб,￼
кожного з нас до ранку перетворивши на згарок. 
Жменька теплого попелу, жменька сухих суниць. 
Наші маленькі радощі, наше велике горе.
Засмієшся – і ніби став байдужим і ницим.
Тиснеш руків'я лопати, наче вороже горло –
задихаюся, бо ввижається, що моє.
Глянь, незабудки розквітли на передпліччі.
Грім весняний – так забавляється Габріель
з нашими іменами у формі кличній.
Діти зчорнілого саду, випаленої дороги.
Як це тепер – класти у землю, аби зійшло?
Пити щодня молоко з присмаком крові,
поки вгорі кружляє тінь людолова.
Мостить гнізда на грушах – хоч виріж усі.
Стань до мене обличчям, тихий, немов трава.
Ніч промине. Ми ступимо по холодній росі.
Будемо розкошувати. Будемо виживати.
2015
(з книжки “Чоловіки, жінки і діти”)";84;2;0;
698;Maria Galina;Maria Galina;2/12/2022;Russian;No;"Мы с братаном
Отдали голоса
Сильному лидеру
Харизматику
Эффективному менеджеру
Теперь ходим
Разговариваем руками
Больше
Нечем";156;3;;
699;Oleh Kotsarev;Oleh Kotsarev;2/12/2022;Ukrainian;No;"СТРИБАЧІ КАМІННЯ

подали грантову заявку
до фонду “південний вітер”
про створення секти “стрибачі каміння”

все просто:
стрибати з каменя на камінь
не поки сягнеш осяяння
а поки є сил

з нас усі сміялись
і фінансування ми не виграли

але пізно —
секту вже створено";37;1;;
700;Dmitry Strotsev;Strotsev Dmitry;2/12/2022;Russian;No;"* 
говорит Христос
русскому богу
говорит Христос
выйди дракон
из людей
выйди дракон
Тело Мое разломи
приими
Крови Моей причастись
упразднись
26.06.2014";247;3;9;
701;Dmitry Strotsev;Dmitry Strotsev;2/13/2022;Russian;No;"МОЯ  НУЖДА
              памяти Владимира Бибихина
дело  не  в  том  что  я
 умный  среди  глупых
сильный  среди  слабых
добрый  среди  злых
 а  в  том  что  я
нуждаюсь
в  чужой  тьме
 для  моего  света
26.01.2012
ОБЪЯВЛЕНИЕ
хочу величия нестерпимо
плачУ кровавыми слезами
срочно
родина-мать
2008
*
что мне куст говорит-горит 
на высоком простом плече 
он, как любящий взгляд, открыт 
он кузнечиком спит в ключе 
он горит-говорит-молчит 
на широком, как грудь, ветру 
где сутулая речь стоит 
и усталую пьет траву 
где прямая скоба идет 
на бесслезных идет гробах 
этот нежный костер цветет 
как приветствие на губах 
и так жалко глаза отвесть 
этот певчий ожог унять 
и откуда нужда, ответь 
если можно тебя обнять 
1993";124;1;;
702;Dmitry Strotsev;Dmitry Strotsev;2/13/2022;Russian;No;"* 
почему
посылаю в солдаты
отдаю на смерть
на войну
сына-врача-строителя
сына-друга
сына
почему
повторяю с надрывом
уж лучше чем
                          от водки
и от простуд
повторяю
за отцом и дедом
26.06.2014";135;6;;
703;Kateryna Kalytko;Kateryna Kalytko;2/13/2022;Ukrainian;No;"Вечірня шкільна екскурсія до друкарні:
лоскітний запах фарби й металу,
світло в цехах масне, 
ніби суп на ребрах,
ротаційні машини і лінотип, 
щойно протертий ганчіркою,
подзвін, з яким розсипається 
тіло тексту,
вкрадена матриця у кишені – літера S,
ніби знак нескінченності,
вони ж самі казали, що латинки
майже не використовують. 
Не віриться, але нас і справді 
хотіли навчити такої праці – 
робити вперту свинцеву кирилицю 
продовженням власних пальців,
складати шпальту актуальних новин
у ритмі, не швидшому за серцебиття набірниці.

Все забуваю спитати, чи й тебе 
писати вчили спершу чорнильною ручкою 
у зошитах з каліграфії,
котра з прописних літер давалась тобі найважче,
чи лишав ти на аркушах ляпки, аби потім
вони проступали крізь промокальний папір
силуетами, що наближаються зі снігового поля – 
і спершу незрозуміло, 
чужі прийшли чи свої.

Навички світу, який минає.

На іншій шкільній екскурсії ми побачили,
як влаштовано хлібзавод, і випадково –
як черстві, аж кам'яні буханці перемелюють,
як сухарне борошно досипають до чистого.
Авжеж, дев'яності, нікому не було діла
до космогонії українського тіста,
до нашої кризи довіри.

І тепер, щоранку, коли 
чужі й свої з усього світу 
питають: ""Ну як там? Уже почалося?"" – чую 
непідробну цікавість до репертуару
жайворонків у час,
поки кухар вивчає рецепт пирога, 
у якому їх запікатиме. 
Але на цій землі
жайворонки тільки гніздяться в житах
і співають над ними, злітаючи по спіралі,
не лягають ніколи начинкою 
у тісто чуже, котре не вміє й дихати.
Немає такої традиції. 

Пояснити можливо не все.
Коли ж намагаюся – 
складаю рядки по літері, 
як операторка лінотипу.
Розставляю слова як належить – дзеркально. 
Ніби все спочатку –
абетки свинцеве борошно.
Віддрукований аркуш гарячий, як свіжий хліб.
Та щоразу, щоразу лишається біла пляма,
і щоразу, щоразу хтось перепитує,
чорнильно проступаючи силуетом
крізь папір.

Думаю, справа у вкраденій літері.
Думаю, справді в ній.
Але я її загубила.";110;11;2;
704;Kateryna Kalytko;Kateryna Kalytko;2/13/2022;Ukrainian;No;"І цього достатньо:
є до кого гукати
крізь потеплілий вперше, тугий 
вечірній вітер. 
Є до кого
вираховувати відстань:
а що, коли 
ні залізниць, ні мостів,
що, коли пішки, уплав і 
знову по суші?
Скільки це днів чи тижнів?
Рахую, заплутуюся, засинаю. 

Час над нашими водами,
великими й прісними, сидить
із ножем у руці,
обличчя ночами розлущує, ніби 
мушлі-перлівниці, злиться:
така оманлива назва, щоразу
замість коштовності 
лезом стікає волога, 
між пальців тремтить драглиста ніщота,
боїться віку, солона. 
Але я обіймаю долонями
твоє лице у темряві, непомильно
зчитуючи шовкову твердість
перламутру, краденого 
в нічного рибалки. 

Віднаходження головного в таємному – 
скарифікація,
пароль, по-живому зашифрований
візерунком. 
Є в кого 
зазирати, холонучи від глибини.
Є об кого порізатися до кістки. 
І цього достатньо. 
Хай тепер приходять. Хай спробують
видирати мене з корінням –
я підважу 
всю землю.";168;15;7;
705;Maria Galina;Maria Galina;2/13/2022;Russian;No;"Но есть и хорошее.
Обоняние вернулось.
Остальное все очень странно, конечно";281;23;;
706;Dmitry Strotsev;Dmitry Strotsev;2/14/2022;Russian;No;"*
       Ксише Ангеловой
сделай
твоим голосом
хоть меня
пожалей
истощенных жен
мужей
на полки
разделенных
забери у войны
позови
царских детей
домой
в царство
неутолимо родным
голосом
моей
мамы
22.01.2017
*
это царство 
тянется в окна ветками 
весеннего поющего и цветущего 
сада 
проникает 
в человеческое жилье 
букетами летних цветов и охапками 
осенних пестрых листьев 
длит 
о себе память 
вином и плодами 
посреди зимы и запустения 
и счастлив поэт 
если видит мать 
под ветвями царства и лета 
окруженную играющими детьми 
и понимает себя 
одним 
из них 
13.06.2020";157;2;;
707;Halyna Kruk;Halyna Kruk;2/14/2022;Ukrainian;No;"***
та, що тебе виносила на своєму плечі 
так, як виносить море все, що впаде за борт 
та, що тебе приводила в себе якось вночі, 
дихаючи за тебе методом рот у рот 
та, що її назвати бракне жіночих імен 
та, що її кохати мужності не вистача 
карму твою латала, танцюючи як кармен – 
нетля на голці музики, пучка духу, дівча 
під чорним її піднебінням, за гострим її язиком 
макова квітка рани, облетіла дочасно 
той, що дає нам тіло (зви його - м'ясником) 
грає тобі на нервах оманливу фугу щастя 
ловить на соломину (каже що рятівну), 
ламає тебе на сотні безнадійних уламків 
і доки ти спиш як мертвий - він списує на війну 
всіх тих, що вона не винесла 
з-під обстрілів, мін і танків";128;10;4;
708;Julia Musakovska;Julia Musakovska;2/14/2022;Ukrainian;No;"*** 
така любов — що аж у горлі клубок гарячий 
без будь-яких напівтонів чи відносних значень, 
не упівсерця, а цілим сонцем — і морем, 
так гіацинтово, фіалково і безумовно 
така розхристана та надсадна, як ранок ранній, 
така разюча: незрозуміло, гоїть чи ранить, 
така обіцяна — зм’яклі коліна, розбитий панцир 
як довгождана, але навмисне пропущена станція 
як гуркіт — і голос, який втішає: гроза, гроза  
як вуличний музикант, зарізаний на Підзамчі 
як протаранені кораблі, обмілілі ріки 
як сто п’ятдесят п’ять дітей без батьківської опіки 
як назви втрачених місць, які не втомишся вимовляти 
як благодать найвища та найгірше прокляття 
як чорна трава, спопелілі гнізда і шепіт пустки. 
така любов, що вросла — 
і ніколи вже не відпустить. 
🖤
#БогСвободи";109;9;5;
709;Maria Galina;Maria Galina;2/14/2022;Russian;No;"*
Ты гуляй, душа-пропойца
Третий лунный день подряд
Сам собою не построится
Вавилонский зиккурат
Чтобы синие лазурные
Прирастали кирпичом
Марсианские дежурные
Хлещут лазерным бичом
Утрамбовывая атомы
В основание земли
Шевелись, быки крылатые
Чтобы яблони цвели
Заплетай покрепче кружево,
Молодильная вода,
Похороненные заживо
Мы сильны как никогда
В треугольном свете месяца
Подпирающего свод
Все невидимое светится
Все убитое живет.";238;14;7;
710;Dmitry Strotsev;Dmitry Strotsev;2/15/2022;Russian;No;"ВЛАДИМИР МАЦКЕВИЧ. СУХАЯ ГОЛОДОВКА
Господи, спаси и сохрани.
*
смерть
имеет
хоть какой-то вид
только
в широко открытых
глазах 
жизни
05.05.2020";199;1;10;
711;Vladislava Ilinska;Vladislava Ilinska;2/15/2022;Russian;No;"ну не ной уже, ну что ты
скоро новая весна
будет лунные частоты 
лить за шиворот окна
ты не слушай всяких сплетен
разгляди её лицо
тятя, клятые соцсети
тащат только мертвецов
может это просто воздух
надрывается от лжи
может быть ещё не поздно
думать, чувствовать и жить
первый первый - я последний,
эта песня обо мне.
забывается наследник...
небу - небо. мир - войне.
#vipoetry";166;16;4;
712;Dmitry Strotsev;Dmitry Strotsev;2/16/2022;Russian;No;"Отступившая, надолго ли?, война, голодное умирание христианина и философа Владимира Мацкевича в минской тюрьме, и весенняя птичья лазурь. Такая сумма впечатлений за день.
*
                                    Елене Шварц
Давай себя развеселим –
пойдем гулять в Ерусалим!
Ты будешь ехать на осляти,
а я глядеть в окошко сзади –
галдеть и злить худую смерть,
плясать и петь пред ней, как снедь.
Пускай вопит и ненавидит,
как слива, лопнет и ослепнет –
и не обидит, не увидит,
как детвора растет и крепнет,
как со двора пойдет гурьбою
в Ерусалим. А нам с тобою
из-под земли – из самой ямы
на них глядеть глазами мамы.
1996";188;3;4;
713;Julia Musakovska;Julia Musakovska;2/16/2022;Ukrainian;No;"*** 
Господи заквітчаний трояндами 
вбраний в павутину і росу 
я тобі через корчі та ями 
десять куль між ребер принесу 
де взялись якого поля ягоди 
хто зростив їх випестив як слід 
вилетіли від сваволі п'яні 
з жалами холодними як лід 
Господи палкий та розчарований 
з терням на високому чолі 
як тобі ходити у короні 
босим по розпатраній землі 
запахи людського і горілого 
вітер кине м'ячиком в лице 
Господи світи і рясно квітни
поки нас інерція несе 
поки цифри множаться у матриці 
поки ранок спи мій Боже спи 
втриматися б — та за що триматись 
за пелюстки краплі за шипи 
#БогСвободи";115;4;1;
714;Maria Galina;Maria Galina;2/16/2022;Russian;No;"*
Тех, кто прятался в подвале, мы уже не узнавали,
Даже если убивали, видишь, зоркая стрела
Причинив им вред едва ли, серным паром изошла
Что там с ними происходит, отчего они выходят
Скаля острые клыки как позорные волки
Тот, кто прятался в подвале, человек уже едва ли
Он при солнечных лучах
содрогнулся и зачах
Им противна наша пища, наши скромные жилища, наш простой достойный быт
Ими полностью забыт
Пусть скитаются лесами, мы уж как-нибудь тут сами
Но безлунными ночами они подходят к ограде,
Темное молчаливое воинство
Ничего не делают, просто стоят и смотрят
Как будто соскучились, как будто хотят повидаться
Как будто вспомнили, кто они на самом деле такие,
Это они, конечно, напрасно,
Никто из нас к ним не выйдет,
Нет таких дураков.";195;2;2;
715;Vladislava Ilinska;Vladislava Ilinska;2/16/2022;Russian;No;"***
синица на твоей ладони,
моё цветное оригами -
неравнобедренносторонни.
и шаткий город под ногами
спасёт от бесполезных будней
и от околоплодных шуток...
шаман, позвякивая бубном,
вскрывает памяти маршруты 
где мы весёлые, чужие,
не вовлечённые нелепо...
я пялюсь в росчерк сухожилий,
а ты заглядываешь в небо
#vipoetry";54;3;;
716;Julia Musakovska;Julia Musakovska;2/17/2022;Ukrainian;No;"* * *
сестро моя а як ми будемо повертатись
виколупувати з-під нігтів колючки глоду
тіні зносилися сонцебоги стали старцями
наші серця випромінюють страх і голод
як це можливо чути шелест трави коли
трави всі під коріння випалені під тобою
очі будинків покинутих тьмяні хоч виколи
літери із книжок густо розсипані як набої
літери чорні обвуглені – хрускають кісточки
хто з них складе слова що б тримались купи
час повертатися сестро не випускай руки
разом босоніж по битому склу невимовно хутко
вірити в липи що облітають в ріки холодні ці
вірити хоч не вдається але не відступати
бачиш як сиві жінки знамена перуть у ріці
обережно ласкаво мов немовлят купають
(з книжки ""Чоловіки, жінки і діти"", 2015)";24;0;0;
717;Ihor Mitrov;Stanislav Belskiy;2/17/2022;Russian;Yes;"[касабланка]
у нас с тобой навсегда
останется наш париж
мы его потеряли
а прошлой ночью снова
обрели
прошлой ночью
когда твои улицы
кисло пахли опавшими яблоками
теперь все яблоки падают
как солдаты на верденском поле
даже недозревшие
даже завязи
лишь одно надкушенное
висело прошлой ночью на прозрачной ветке
светило нам будто воля
и представление
мы соответственно смотрели на него
волея
и 
представляя
какое оно на вкус
ты говорила
что оно на вкус
как снег с вершины ай-петри
я говорил нет
у него вкус
караимского чебурека
ты засмеялась
а потом заплакала
настало холодное осеннее
умеренно-континентальное утро
и если ночью
ты была возбуждена
и страстно шептала мне на ухо
украинские ласковые слова
то теперь стала сухой
как степной ветер
и русскоязычной
как цинковый гроб
этот бокал за тебя детка
у нас с тобой навсегда
останется наш симферополь
ты должна
сесть на этот корабль
(Перевод с украинского)";19;1;0;
